year,state,age_group,gender,value,unit,note
2011,All India,0 to 1 years,Female,11771,value in Thousands,
2011,All India,0 to 1 years,Male,12645,value in Thousands,
2011,All India,0 to 1 years,Person,24416,value in Thousands,
2016,All India,0 to 1 years,Female,11207,value in Thousands,
2016,All India,0 to 1 years,Male,12532,value in Thousands,
2016,All India,0 to 1 years,Person,23739,value in Thousands,
2021,All India,0 to 1 years,Female,10960,value in Thousands,
2021,All India,0 to 1 years,Male,12196,value in Thousands,
2021,All India,0 to 1 years,Person,23156,value in Thousands,
2026,All India,0 to 1 years,Female,10392,value in Thousands,
2026,All India,0 to 1 years,Male,11500,value in Thousands,
2026,All India,0 to 1 years,Person,21892,value in Thousands,
2031,All India,0 to 1 years,Female,9764,value in Thousands,
2031,All India,0 to 1 years,Male,10753,value in Thousands,
2031,All India,0 to 1 years,Person,20517,value in Thousands,
2036,All India,0 to 1 years,Female,9152,value in Thousands,
2036,All India,0 to 1 years,Male,10088,value in Thousands,
2036,All India,0 to 1 years,Person,19240,value in Thousands,
2011,All India,0 to 4 years,Female,57682,value in Thousands,
2011,All India,0 to 4 years,Male,62145,value in Thousands,
2011,All India,0 to 4 years,Person,119827,value in Thousands,
2016,All India,0 to 4 years,Female,54919,value in Thousands,
2016,All India,0 to 4 years,Male,61594,value in Thousands,
2016,All India,0 to 4 years,Person,116513,value in Thousands,
2021,All India,0 to 4 years,Female,53707,value in Thousands,
2021,All India,0 to 4 years,Male,59938,value in Thousands,
2021,All India,0 to 4 years,Person,113645,value in Thousands,
2026,All India,0 to 4 years,Female,50923,value in Thousands,
2026,All India,0 to 4 years,Male,56522,value in Thousands,
2026,All India,0 to 4 years,Person,107444,value in Thousands,
2031,All India,0 to 4 years,Female,47844,value in Thousands,
2031,All India,0 to 4 years,Male,52846,value in Thousands,
2031,All India,0 to 4 years,Person,100690,value in Thousands,
2036,All India,0 to 4 years,Female,44849,value in Thousands,
2036,All India,0 to 4 years,Male,49580,value in Thousands,
2036,All India,0 to 4 years,Person,94429,value in Thousands,
2011,All India,5 to 9 years,Female,59896,value in Thousands,
2011,All India,5 to 9 years,Male,65412,value in Thousands,
2011,All India,5 to 9 years,Person,125308,value in Thousands,
2016,All India,5 to 9 years,Female,57084,value in Thousands,
2016,All India,5 to 9 years,Male,61536,value in Thousands,
2016,All India,5 to 9 years,Person,118620,value in Thousands,
2021,All India,5 to 9 years,Female,54345,value in Thousands,
2021,All India,5 to 9 years,Male,60959,value in Thousands,
2021,All India,5 to 9 years,Person,115305,value in Thousands,
2026,All India,5 to 9 years,Female,53246,value in Thousands,
2026,All India,5 to 9 years,Male,59409,value in Thousands,
2026,All India,5 to 9 years,Person,112656,value in Thousands,
2031,All India,5 to 9 years,Female,50568,value in Thousands,
2031,All India,5 to 9 years,Male,56100,value in Thousands,
2031,All India,5 to 9 years,Person,106668,value in Thousands,
2036,All India,5 to 9 years,Female,47572,value in Thousands,
2036,All India,5 to 9 years,Male,52587,value in Thousands,
2036,All India,5 to 9 years,Person,100159,value in Thousands,
2011,All India,10 to 14 years,Female,61158,value in Thousands,
2011,All India,10 to 14 years,Male,67537,value in Thousands,
2011,All India,10 to 14 years,Person,128696,value in Thousands,
2016,All India,10 to 14 years,Female,59763,value in Thousands,
2016,All India,10 to 14 years,Male,65160,value in Thousands,
2016,All India,10 to 14 years,Person,124923,value in Thousands,
2021,All India,10 to 14 years,Female,56906,value in Thousands,
2021,All India,10 to 14 years,Male,61225,value in Thousands,
2021,All India,10 to 14 years,Person,118131,value in Thousands,
2026,All India,10 to 14 years,Female,54243,value in Thousands,
2026,All India,10 to 14 years,Male,60713,value in Thousands,
2026,All India,10 to 14 years,Person,114956,value in Thousands,
2031,All India,10 to 14 years,Female,53205,value in Thousands,
2031,All India,10 to 14 years,Male,59229,value in Thousands,
2031,All India,10 to 14 years,Person,112434,value in Thousands,
2036,All India,10 to 14 years,Female,50567,value in Thousands,
2036,All India,10 to 14 years,Male,56048,value in Thousands,
2036,All India,10 to 14 years,Person,106615,value in Thousands,
2011,All India,15 to 19 years,Female,57763,value in Thousands,
2011,All India,15 to 19 years,Male,63986,value in Thousands,
2011,All India,15 to 19 years,Person,121748,value in Thousands,
2016,All India,15 to 19 years,Female,60965,value in Thousands,
2016,All India,15 to 19 years,Male,67241,value in Thousands,
2016,All India,15 to 19 years,Person,128207,value in Thousands,
2021,All India,15 to 19 years,Female,59525,value in Thousands,
2021,All India,15 to 19 years,Male,64788,value in Thousands,
2021,All India,15 to 19 years,Person,124313,value in Thousands,
2026,All India,15 to 19 years,Female,56754,value in Thousands,
2026,All India,15 to 19 years,Male,60943,value in Thousands,
2026,All India,15 to 19 years,Person,117697,value in Thousands,
2031,All India,15 to 19 years,Female,54161,value in Thousands,
2031,All India,15 to 19 years,Male,60494,value in Thousands,
2031,All India,15 to 19 years,Person,114655,value in Thousands,
2036,All India,15 to 19 years,Female,53167,value in Thousands,
2036,All India,15 to 19 years,Male,59140,value in Thousands,
2036,All India,15 to 19 years,Person,112306,value in Thousands,
2011,All India,20 to 24 years,Female,53767,value in Thousands,
2011,All India,20 to 24 years,Male,57844,value in Thousands,
2011,All India,20 to 24 years,Person,111611,value in Thousands,
2016,All India,20 to 24 years,Female,57456,value in Thousands,
2016,All India,20 to 24 years,Male,63545,value in Thousands,
2016,All India,20 to 24 years,Person,121001,value in Thousands,
2021,All India,20 to 24 years,Female,60603,value in Thousands,
2021,All India,20 to 24 years,Male,66701,value in Thousands,
2021,All India,20 to 24 years,Person,127305,value in Thousands,
2026,All India,20 to 24 years,Female,59258,value in Thousands,
2026,All India,20 to 24 years,Male,64343,value in Thousands,
2026,All India,20 to 24 years,Person,123600,value in Thousands,
2031,All India,20 to 24 years,Female,56571,value in Thousands,
2031,All India,20 to 24 years,Male,60588,value in Thousands,
2031,All India,20 to 24 years,Person,117159,value in Thousands,
2036,All India,20 to 24 years,Female,54035,value in Thousands,
2036,All India,20 to 24 years,Male,60271,value in Thousands,
2036,All India,20 to 24 years,Person,114306,value in Thousands,
2011,All India,25 to 29 years,Female,49657,value in Thousands,
2011,All India,25 to 29 years,Male,51429,value in Thousands,
2011,All India,25 to 29 years,Person,101086,value in Thousands,
2016,All India,25 to 29 years,Female,53441,value in Thousands,
2016,All India,25 to 29 years,Male,57310,value in Thousands,
2016,All India,25 to 29 years,Person,110750,value in Thousands,
2021,All India,25 to 29 years,Female,57073,value in Thousands,
2021,All India,25 to 29 years,Male,62893,value in Thousands,
2021,All India,25 to 29 years,Person,119966,value in Thousands,
2026,All India,25 to 29 years,Female,60288,value in Thousands,
2026,All India,25 to 29 years,Male,66100,value in Thousands,
2026,All India,25 to 29 years,Person,126388,value in Thousands,
2031,All India,25 to 29 years,Female,59026,value in Thousands,
2031,All India,25 to 29 years,Male,63835,value in Thousands,
2031,All India,25 to 29 years,Person,122861,value in Thousands,
2036,All India,25 to 29 years,Female,56402,value in Thousands,
2036,All India,25 to 29 years,Male,60243,value in Thousands,
2036,All India,25 to 29 years,Person,116645,value in Thousands,
2011,All India,30 to 34 years,Female,45203,value in Thousands,
2011,All India,30 to 34 years,Male,46072,value in Thousands,
2011,All India,30 to 34 years,Person,91274,value in Thousands,
2016,All India,30 to 34 years,Female,49341,value in Thousands,
2016,All India,30 to 34 years,Male,50834,value in Thousands,
2016,All India,30 to 34 years,Person,100176,value in Thousands,
2021,All India,30 to 34 years,Female,53069,value in Thousands,
2021,All India,30 to 34 years,Male,56606,value in Thousands,
2021,All India,30 to 34 years,Person,109675,value in Thousands,
2026,All India,30 to 34 years,Female,56760,value in Thousands,
2026,All India,30 to 34 years,Male,62210,value in Thousands,
2026,All India,30 to 34 years,Person,118970,value in Thousands,
2031,All India,30 to 34 years,Female,60036,value in Thousands,
2031,All India,30 to 34 years,Male,65469,value in Thousands,
2031,All India,30 to 34 years,Person,125504,value in Thousands,
2036,All India,30 to 34 years,Female,58833,value in Thousands,
2036,All India,30 to 34 years,Male,63375,value in Thousands,
2036,All India,30 to 34 years,Person,122208,value in Thousands,
2011,All India,35 to 39 years,Female,40965,value in Thousands,
